"bill_id","כותרת","הציר שנמצא","צד","נימוק"
"1045860","חוק להפסקת פעילות אונר""א (תיקון), התשפ""ו-2025","האם לאסור את פעילות אונר״א בתחומי ישראל?","pro","ההצעה מטילה חובת ניתוק תשתיות מים וחשמל על נכסי אונר""א, כחלק מהמאבק והאיסור על פעילות הארגון בישראל."
"2189724","חוק התקשורת (בזק ושידורים) (תיקון מס' 79), התשפ""ד–2024","(ללא ציר)","",""
"2195802","הצעת חוק בנק ישראל (תיקון - פרטי שטרי כסף ומעות), התשפ""ג-2022","(ללא ציר)","",""
"2195942","הצעת חוק להגבלת שכר טרחת כונסי נכסים (תיקוני חקיקה), התשפ""ג-2022","האם יש לקבוע בחוק תקרות לשכר טרחת עורכי דין ובעלי תפקידים?","pro","ההצעה קובעת תקרה אחידה ומגבילה של שכר הטרחה לכונסי נכסים (בעלי תפקיד)."
"2196000","הצעת חוק מניעת סיכון בריאותי מהפעלת פליקרים במקומות ציבוריים, התשפ""ג-2022","(ללא ציר)","",""
"2196086","הצעת חוק העברת היחידות הארציות של משרדי הממשלה לירושלים, התשפ""ג-2022","(ללא ציר)","",""
"2196156","הצעת חוק לתיקון פקודת הנזיקין (העברת נטל ההוכחה בתביעות בגין הליכים משפטיים שהתמשכו), התשפ""ג-2023","(ללא ציר)","",""
"2196231","הצעת חוק חישוב דרגת הזכאות של מורה להשתתפות המדינה בדמי ההחזקה לילד במעונות יום ובמשפחתונים, התשפ""ג-2023","האם להרחיב פיקוח וסבסוד במעונות ובחינוך לגיל הרך?","pro","ההצעה מרחיבה את הזכאות לסבסוד מעונות יום למורות באמצעות חישוב שעות מיטיב."
"2196461","חוק התכנון והבנייה (תיקון מס' 146), התשפ""ד-2023","(ללא ציר)","",""
"2196590","הצעת חוק חוזה הביטוח (תיקון - ביטוח דירה), התשפ""ג-2022","האם להגביר את הפיקוח והרגולציה על המערכת הפיננסית?","pro","ההצעה מטילה רגולציה מחייבת על חברות הביטוח להרחיב כיסוי ביטוחי ולמנוע פטור מתשלום."
"2196721","הצעת חוק לתיקון פקודת המועצות המקומיות (מס' 79) (אחוז החסימה בבחירות לוועד מקומי), התשפ""ג–2023","(ללא ציר)","",""
"2196835","הצעת חוק הביטוח הלאומי (תיקון - פטור מכפל תשלום דמי ביטוח לאומי), התשפ""ג-2022","(ללא ציר)","",""
"2196915","הצעת חוק אישור לפתיחת חקירת שוטרים המעורבים באירוע לאומני, התשפ""ג-2022","האם להעניק לחיילים וללוחמים חסינות מפני חקירות?","pro","מתנה חקירת שוטרים באירועים לאומניים באישור ועדה פרלמנטרית, ובכך מעניקה הגנה וחסינות מפני חקירות"
"2196986","הצעת חוק לתיקון פקודת המשטרה (תיעוד חזותי של השימוש במכת""זית), התשפ""ג-2022","(ללא ציר)","",""
"2197049","הצעת חוק בטיחות בתעסוקה ובריאות תעסוקתית, התשפ""ג-2023","(ללא ציר)","",""
"2197147","הצעת חוק לתיקון פקודת התעבורה (פטור מתשלום דמי חניה לרכב של כונן רפואת חירום עם ציוד), התשפ""ג-2023","(ללא ציר)","",""
"2197222","הצעת חוק הביטוח הלאומי (תיקון - תשלום גמלת ילד נכה לאומן בעד ילד הנמצא אצלו באומנה), התשפ""ג-2022","האם להגדיל את תקציבי הקצבאות לאנשים עם מוגבלות?","pro","מרחיבה את הזכאות לגמלת ילד נכה גם למשפחות אומנה"
"2197282","הצעת חוק לעידוד השקעות הון (תיקון - עידוד ענף היהלומים) (הוראת שעה), התשפ""ג-2023","(ללא ציר)","",""
"2197363","הצעת חוק הפיקוח על מעונות יום לפעוטות (תיקון - חובת החזקת ערכת עזרה ראשונה), התשפ""ג-2023","האם להרחיב פיקוח וסבסוד במעונות ובחינוך לגיל הרך?","pro","מטילה חובה רגולטורית ופיקוחית נוספת על מעונות יום לפעוטות"
"2197463","הצעת חוק חינוך ממלכתי (תיקון - חובת לימוד ערבית), התשפ""ג-2023","האם לעגן בחקיקה את מעמד השפה הערבית וחובת הנגשתה?","pro","מעגנת חובת לימוד ובגרות בשפה הערבית בכלל מוסדות החינוך המוכרים"
"2197548","הצעת חוק לתיקון פקודת התעבורה (הקמת מאגר מידע לריכוז דוחות חניה), התשפ""ג-2022","(ללא ציר)","",""
"2197618","הצעת חוק לתיקון פקודת הדיג (איסור דיג מכמורת), התשפ''ג-2022","האם להעדיף שיקולים סביבתיים ורגולציה על פני שיקולים כלכליים?","pro","ההצעה אוסרת שיטת דיג פוגענית כדי להגן על המערכת האקולוגית הימית, ומעדיפה הגנה סביבתית על פני אינטרסים מסחריים."
"2197749","הצעת חוק פיצוי חייבים בשל עיכוב בהסרת הליכים (תיקוני חקיקה), התשפ""ג-2022","(ללא ציר)","",""
"2197840","חוק גירוש משפחות מחבלים, התשפ""ה–2024","האם לשלול מעמד ולגרש פעילי טרור ובני משפחותיהם?","pro","החוק מעניק סמכות לשר הפנים לגרש בני משפחה של מחבלים שתמכו או ידעו מראש על מעשה הטרור."
"2197902","הצעת חוק הדיינים (תיקון - מינוי דיין עמית בבית הדין הרבני הגדול), התשפ""ג-2023","(ללא ציר)","",""
"2198030","הצעת חוק ההוצאה לפועל (תיקון - הודעה לחייב בטרם הגשת בקשה לביצוע משכנתה), התשפ""ג-2023","(ללא ציר)","",""
"2198084","הצעת חוק יישום תוכנית ההתנתקות (תיקון - ביטול סעיפי הפינוי ושינוי שם החוק), התשפ""ג-2023","(ללא ציר)","",""
"2198252","הצעת חוק לתיקון פקודת הרופאים (הוראות לעניין בחינות לסטז'רים), התשפ""ג-2023","(ללא ציר)","",""
